"reviewid","artist"
"22703","massive attack"
"22721","krallice"
"22659","uranium club"
"22661","kleenex"
"22661","liliput"
"22725","taso"
"22722","various artists"
"22704","little simz"
"22694","yotam avni"
"22714","brian eno"
"22724","the lox"
"22715","harry bertoia"
"22745","run the jewels"
"22700","steven warwick"
"22720","yasiin bey"
"22699","smoke dza"
"22699","pete rock"
"22665","various artists"
"22666","senyawa"
"22719","chance the rapper"
"22719","jeremih"
"22667","jamire williams"
"22691","the-dream"
"22702","worm ouroboros"
"22718","nine inch nails"
"22706","elder ones"
"22695","the microphones"
"22713","ben frost"
"22705","kacey musgraves"
"22532","jay som"
"22701","rashad becker"
"22707","ray charles"
"22708","ab-soul"
"22559","pantera"
"22692","gucci mane"
"22677","mica levi"
"22469","kid cudi"
"22711","sammus"
"22678","hodgy"
"22664","jeff parker"
"22685","a-trak"
"22690","jess williamson"
"22689","kevin abstract"
"22697","adr"
"22681","deadmau5"
"22698","jessy lanza"
"22684","peter broderick"
"22693","qasim naqvi"
"22686","post malone"
"22643","bob dylan"
"22640","ricardo villalobos"
"22640","umho"
"22688","peder mannerfelt"
"22696","j. cole"
"22663","pink floyd"
"22687","flume"
"22662","gaye su akyol"
"22317","jeff buckley"
"22673","various artists"
"22655","saba"
"22593","various artists"
"22627","simian mobile disco"
"22555","gas"
"22682","kodie shane"
"22679","the orchestra of syrian musicians"
"22657","blessed initiative"
"22654","neil young"
"22631","soundgarden"
"22683","nick hook"
"22635","kjartan sveinsson"
"22653","the rolling stones"
"22672","gucci mane"
"22672","lil uzi vert"
"22536","young male"
"22676","alex izenberg"
"22671","childish gambino"
"22675","fetty wap"
"22680","miranda lambert"
"22641","denitia and sene"
"22645","john legend"
"22393","yoko ono"
"22393","john lennon"
"22660","coldcut"
"22553","joan as police woman"
"22553","benjamin lazar davis"
"22626","brand new"
"22639","sun ra"
"22658","dungen"
"22638","mica levi"
"22638","oliver coates"
"22656","jay daniel"
"22669","r.e.m."
"22634","bruno mars"
"22632","keita sano"
"22652","tredici bacci"
"22674","burial"
"22670","yg"
"22646","you blew it!"
"22535","suzanne kraft"
"22668","the weeknd"
